Race,Date
Garmin, 2018-04-21
Kansas City, 2018-10-20
Buckeye, 2018-12-08
Free State, 2019-04-27
Oregon, 2019-07-20
St. George, 2019-10-05
Psycho Wyco, 2020-02-22
Free State, 2021-06-12
Alamo City, 2021-09-11
Cactus Rose, 2021-10-22
Bandera 22, 2022-01-08
Salt Lake, 2022-04-23
Sky Island, 2022-09-17
Austin Rattler, 2022-11-05
Bandera 23, 2023-01-07
Elephant Rock, 2023-08-12
Wasatch 23, 2023-09-08
Tushars, 2024-07-27
Rocky Horror, 2024-10-19
Bandera 25, 2025-01-11
Wasatch 25, 2025-09-13
